ID,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two),reviews_list,menu_item,listed_in(type),listed_in(city)
92,"2nd Block, Phase 1, 282/A -1, 12th Main Rd, 2nd Block, Phase 1, Hoskerihalli, Banashankari, Bengaluru, Karnataka 560050","Paddu Centre
",No,No,4.5/5,826,9844972340,Banashankari,Self-service,"Paddu, Vada
",South Indian,100,Had one plate of paddu contains 6 pieces and two types of chutney costes 25 rs per plate.,[],Street Stalls,Banashankari
93,"NO 329, Ground Floor, GVS COMPLEX 10th A - Main, 22nd Cross Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru 560011",Kulfilcious,Yes,No,4.4/5,195,6364326201,Jayanagar,Self-service,"Royal Kulfi Falooda
","Ice Creams and Beverages
",400,"Oooo. Aur kya chahiye. Falooda... Yummy, gudbud good... Kulfi variety superb. Smiling and warm team. What more... Its open till midnight. Enjoy the decor with old Hindi bollywood classic songs",[],Cafe,Jayanagar
94,"No.244, 9th Main Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",Dose Camp,Yes,No,4.1/5,3423,8041505554,Jayanagar,Self-service,Gold Masala Dosa,"South Indian
",250,"Among the plethora of options available to enjoy a soul soothing south Indian breakfast in South Bangalore, I think this place is just about average. However, it's popular and generally crowded and expect a wait time of around 10-15 mins.",[],Hotel,Jayanagar
95,"15, Bull Temple, Road, opp. to Ramakrishna Ashrama Circle, next to HSBC Bank, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004
","Guru Raghavendra Chats
",No,No,4.3/5,68,null,Basavanagudi,Self-service,"Masala Puri, Pani P
uri",Indian Street Food,100,"The tasty was good . We tried masala puri, pani puri and sev puri. I felt pani puri was okay , rest were good.",[],Street Stalls,Basavanagudi
96,"NR Colony, Basavanagudi, Bengaluru, Karnataka 560004",Gobi Centre,No,No,4.2/5,36,null,Basavanagudi,Self-service,"Gobi, Babycorn Manchurian, Noodles",Indian Street Food,120,"Best place to have Gobi if you are in the surroundings of N.R colony. They will serve Gobi Manchurian, veg noodles, fried rice, Gobi noodles mix, Gobi fried rice mix and dry gobi. All are available in both full and half plates. Currently half plate costs 25/-and full plate costs 50/-. I loved all the items they serve especially with green chilli sauce. Both tomato and green chilli sauces are available, you can use both according to your liking. Dry Gobi is super, they will add spices like pepper powder, chat masala etc, which tastes awesome. Must try place, especially Gobi lovers...",[],Street Stalls,Basavanagudi
97,"No.115, 116, Gandhi Bazaar Main Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004","Udupi Sri Krishna Bhavan
",Yes,No,4.2/5,3129,9513244111,Basavanagudi,Casual Dining,"Sagu Masala Dosa, Idly
","South Indian
",250,Udupi Sri Krishna Bhavan is a South Indian Restaurant located in Gandhi Bazaar area just near Vidyarthi Bhavan. The place is of decent size and has normal seating of chairs and tables. It is located on the 1st floor of the building.,[],Hotel,Basavanagudi
98,"69, Dr Rajkumar Rd, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010",Sri Venkateshwara Sweet House,Yes,No,4.0/5,40,23328661,Rajajinagar,Self-service,"Masala Puri, Pani P
uri",Indian Street Food,250,"Been visiting here from almost 20 years now! The chats taste has remained the same throughout! Extremely tasty, well made and well served! The cold badam milk might be subjective to people, but for me its a personal favourite!",[],Street Stalls,Rajajinagar
99,"290, 38th Cross Rd, 5th Block, Jayanagar, Bengaluru, 560041
",Agarwal Foods,Yes,No,4.8/5,74,9019722252,Jayanagar,Self-service,"Chole Bhature, Pav Bhaji",North Indian,350,Food is great in taste. If you're north indian then you can get what you want. The atmosphere is also great here. The service is great too. The shop guys are decent. They treat their customers well. One thing I would like to say...if they can increase the quantity of the thing then it would be a plus.,[],Hotel,Jayanagar
100,"73, 17th E Main Rd, KHB Colony, 6th block, Koramangala, 560095", Ferrara-Osteria Diner,Yes,Yes,4.3/5,625,7090677779,Koramangala,Casual Dining,"Pizza, Bumbo buns",Italian,800,"Gotta try the signature salted caramel ice cream and pasta is really good  ; Super place, tried their bumbo buns, with elaborate options of ice dreams, the pizza is really great, try week days.",[],Cafe,Koramangala
101,"9/2, Nayanthara,4th cross,Netag Rd, Thyagaraja nagar, 560028",Litti Dhuska Wale,No,No,4.9/5,100,9022884504,Thyagaraj Nagar,Casual Dining,Dhuska,North Indian,250,"They make perfect Jharkand and Bihar cuisine.Must place visit.Food taste is authentic and genuinely priced ; Excellent Litti Chaukha, must try.",[],Street Stalls,Banashankari
102,"532, 10th main, 36th cross rd, Jayanagar, Bengaluru-560041",Corner House,Yes,No,4.5/5,5839,8867818784,Jayanagar,Self service,DBC,Ice Creams and Beverages,500,"Iconic ice creams, must try DBC ; The 5 star rating is for ice cream and ice cream alone. Our favourites are below: DBC-5/5, HCF-5/5, Litchi with ice cream-5/5, Cake fudge-5/5",[],Cafe,Jayanagar
103,"No 1316,D 9th cross, 9th main road, Opp. to Tirumalagiri Venkateshwara Temple, Marenahalli, 2nd Phase,J.P. Nagar, Bengaluru-560078",Harley's Fine Bakery,Yes,No,4.7/5,350,null,JP Nagar,Casual Dining,"Macarons, Pasta, Pizza",Italian,600,"One of the best places for coffee, cakes ans snacks in town. The speciality is no egg cakes and pastries, no sugar, and world class taste ; Extremely pleasant atmosphere, good aesthetics, recommend to try their Russian Medovik desserts. ",[],Cafe,JP Nagar
104,"Forum Mall Rd, Anjanadri layout, Konankunte, Bengaluru-560062",Kebapci Forum South,Yes,No,4.6/5,200,null,Konankunte,Casual Dining,"Gelata Cheesecake, Mandi rice, Beyti Kebabs",Turkish,1500,Everything about this restaurant was just great! Scrumptious food! The whole experience from start to finish was exceptional! ; Love their Beyti kebabs. The servie is also very fast.,[],Cafe,Konankunte
105,"2nd floor, Jyothi, GM Arcade, Basque bakery, 58, Jyoti Nivas College Rd, KHB Colony, 5th block, Bengaluru-560095",Basque Bakery,Yes,No,4.1/5,50,null,Koramangala,Casual Dining,"Souffle cheesecake, Assorted cheesecake",French,500,"The freaking best cheesecake I have had in Bangalore till date. ; Really loved the place, would visit again for sure.",[],Bakery,Koramangala
106,"265, 24th cross Rd, Siddana layout, Banashankari 2nd stage, Bengaluru-560070",Kidambi's Kitchen,No,No,3.5/5,200,8042112211,Banashankari,Casual Dining,"Combo breakfast, Pongal, Idli",South Indian,300,Kidambi kitchen serving the best breakfast which was Coimbatore style and yes we loved it too!,[],Restaurant,Banashankari
107,"47/1,  JP Nagar, 3rd phase, 9th cross, 1st main road, JP Nagar Rd, Near Sony center, Bengaluru-560078",Cafe Khadya,No,No,4.4/5,200,null,JP Nagar,Self service,"Benne Masala dose, Ghee Podi Idli, Sukrunde",South Indian,200,"Amazing place to have south indian food, the ambience is nice enough ; Rates are affordable ; Good place to grab a bite after a walk in park! Tried dose, vada and chow chow bath, all were good.",[],Hotel,JP Nagar
108,"148, 18th Main Rd, BTM 2nd stage, Mahadeshwara Nagar, Stage 2, BTM Layout, Bengaluru, Near Olive Street Food cafe",Himalayan Momos,No,No,4.0/5,100,null,BTM Layout,Self service,"Cheese veg momos, Soya momos",Tibetan,150,Gotta try veg cheese momos and chicken momos ; Very affordable to all the bachelor's and working people around,[],Street Stalls,BTM Layout
109,Uttarahalli KSRTC Layout Opp. Akash kunigal tatte idly,Yum Sum momos,No,No,3.8/5,100,null,Uttarahalli,Self service,"Dry gobi, momos",Chinese,150,"Best place to have dry gobi ; Firstly tried manchow soup, which was good in taste and mainly dry gobi was really good and had a crispy texture",[],Street Stalls,Banashankari
110,"Uttarahalli Main road, Next to Royal Mart",Kalabhairaveshwara Tifen Center,No,No,4.0/5,100,null,Uttarahalli,Self service,"Masala Dosa, Rice bath",South Indian,150,Small food truck with simple menu and delicious Indian Street Food.,[],Street Stalls,Banashankari
111,"153, 32nd E Cross Rd, BTB Area, 4th T bolck East, Jayanagar, Bengaluru-560041",Sri Vinayaka Juice Center,No,No,4.2/5,150,null,Jayanagar,Self service,Sherjah Milk shake,Ice Creams and Beverages,150,Must try place for amazing juice and milkshakes!,[],Street Stalls,Jayanagar
112,"Metro Pillar No 66, 1319, Marenahalli Rd, Near sapphire honda showroom, JP Nagar 2nd Phase, Bengaluru-560078 ",Mulbagal Dosa Corner,No ,No,4.2/5,100,null,JP Nagar,Self service,"Benne Masala dose, Ghee Podi Idli, Sabakki Idli",South Indian,200,The best place I've had Mulbagal Masala dose in Bengaluru.,[],Hotel,JP Nagar
113,"No.2465, 24th cross Rd, Sidanna Layout, Banashankari 2nd stage, Bengaluru-560070",Hara Fine Dine,No,No,4.0/5,2446,9880412211,Banashankari,Casual Dining,"Butter roti, Dal kichdi, Shahi thukda",North Indian,950,"All veg lovers here is a place to check out for dine in. It serves pure veg menu, their food is amazing.",[],Restaurant,Banashankari
114,"Near Shekar Hospital,3rd cross Rd, Gavipuram Extn, Basavanagudi, Bengaluru-560019",Balaji Chat Corner,No,No,4.4/5,467,9886261273,Basavanagudi,Self service,"Cucumber noodles, Floating Pani puri, Samosa Chat",Indian Street Food,150,A nice place to have chats to please your cravings.,[],Street Stalls,Basavanagudi
115,"1666A, Dr Rajkumar Rd, Mariappanapalya, Rajajinagar, Bengaluru-560021",Hotel Sagar,Yes,No,4.2/5,20100,8023325917,Rajajinagar,Self service,"Mango milkshake, Masala puri, Jalebi",Indian Street Food,300,Mango milkshake at midnight is a must try ; It was just totaly worth the hype.,[],Hotel,Rajajinagar
116,"Ice Thunder, DVG Road, Gandhi Bazaar, Basavanagudi, Bengaluru-560004",Ice Thunder,Yes,No,3.8/5,275,null,Basavanagudi,Self service,"Juices, Filter coffee, Pani Puri",Indian Street Food,150,"Nice place to have breakfast, lunch, chats, juices, sundaes or just a great filter coffee.",[],Hotel,Basavanagudi
117,"Sampige Road, 3rd cross road, Malleshwaram, Bengaluru-560003",Hallimane,Yes,Yes,4.0/5,23668,9880833199,Malleshwaram,Casual Dining,"Mangalore buns, Masala dose, Ghee dose, Open dose",South Indian,450,You get hot and good quality food even by morning 7/7:30 ; Love their combo breakfast and meals.,[],Restaurant,Malleshwaram
118,"Railway station, 11th MAin Rd, Next to Malleshwaram, Bengaluru-560003",Sri Raghavendra Stores,No,No,4.4/5,6659,8023348477,Malleshwaram,Self service,"Shavige bath,Idly Vada",South Indian,200,"One of the finest breakfast places around Malleshwaram ; Best food: Idli and Vada, Kharabath, Shavige and Kesaribath is worth a try.",[],Hotel,Malleshwaram
119,"Aunty's hotel, Chamrajpet, Bengaluru-560018",Aunty's hotel,No,No,4.8/5,20,null,Chamrajpet,Self service,"Rice bath, Idly and chutney",South Indian,150,"27 years old hotel and they are serving the best idli vade and chutney in town, the combo rice bath is super ; My favourite idli hotel in chamrajpet.",[],Hotel,Basavanagudi
120,"186, 24th Cross Rd, Siddanna layout, Banashankari II Stage, Bengaluru-560070",SLV Coffee Bar,No,No,4.4/5,9040,null,Banashankari,Self service,"Filter coffee, Idli vada and chutney",South Indian,150,"Lovely food! Must try is the iconic idli vada with the awesome neer chutney ; Expect heavy rush during weekends, Pretty reasonable prices too, and the best part is you can refill the chutney",[],Hotel,Banashankari
121,"The Kittur Rani Chennama Flyover, RK Layout 2nd Stage, Banashankari, Bengaluru-560070",Dose Adda,No,No,4.0/5,512,null,Banashankari,Self service,"Thatte Idli, Masala dosa, Pulav",South Indian,150,"Dosa Adda famous for early morning breakfast places opens at 3:30-4 and night by 8-8:30 PM. ; They serve delicious dose, pulav, thatte idli and vade.Place is always crowded.",[],Hotel,Banashankari
122,"Manjunath Colony, 2nd Phase, JP Nagar, Bengaluru-560078",Chulha Chauki Da Dhaba,Yes,No,4.2/5,14563,8041204283,JP Nagar,Casual Dining,"Lemon Chicken, Sweet lassi, Tandoori paneer tikka",North Indian,1000,"Good place to have North Indian Food, Kulhqad lassi is a must try ; Great place which serves authentic north Indian food in Bangalore.",[],Restaurant,JP Nagar
123,"52, 1st Floor, 33rd Sross Rd, Near Cafe Coffee Day, 4th Block, Jayanagar, Bengaluru-560011",Meghana Foods Jayanagar,Yes,No,4.3/5,31564,8022448080,Jayanagar,Casual Dining,"Chicken Biriyani, Mushroom Biriyani,  Golden Babycorn",Indian,1000,This brand is my go to for the biriyanis. ; Great place in Jayanagar for a leisure hangout. Food is fantastic. The staff is good and prompt.,[],Restaurant,Jayanagar
124,"32, Gandhi Bazaar Main Rd, Gandhi Bazaar, Basavanagudi, Karnataka-560004",Vidyarthi Bhavan,Yes,No,4.2/5,50423,8026677588,Gandhi Bazaar,Self service,"Masala Dosa, Kesaribath, Kharabath Upma, Sagu Masala Dosa",South Indian,200,Vidyarthi Bhavan is unique and frozen in time. They serve very tasty dosas which are crispy and thick. I could taste plenty of ghee in sagu masala dosa that I ordered.,[],Hotel,Basavanagudi
125,"595, 24th Cross Rd, Sidanna Layout, Banashankari II Stage, Bengaluru-560070",Food Stories,Yes,No,4.3/5,50,7411131638,Banashankari,Self service,"Pasta, Garlic Bread, Corn, Schezwan Paneer Roll",Indian Street Food,300,"This place is a hidden gem! They serve delicious pasta, chinese, burgers and wraps at incredibly reasonable prices.",[],Cafe,Banashankari
126,"No 20, 4th Main Tata Silk Farm, Basavanagudi, Bengaluru-560004",Sadguru Chinese Food Corner,No,No,4.3/5,404,8694932393,Basavanagudi,Self service,"Dry gobi, Gobi manchurian",Chinese,150,"Must try paneer chilli, Gobi manchurian was decent ; This is must try, the food was worth every penny and more than anything else they use semi organic products.",[],Street Stalls,Basavanagudi
127,"17th Main Rd, BTM 2nd Stage, MCHS Colony, BTM Layout, Bengaluru-560070",Olive Street Food Cafe,Yes,No,4.7/5,8385,null,BTM Layout,Casual Dining,"Mojito, Thick shakes, Mushroom sandwich, Chicken club sandwich",Indian Street Food,400,A decent place with reasonable prices. Ambience is good. Food is good especially their parathas and rolls.,[],Cafe,BTM Layout
128,"Olety Hostel building, Sajjan Rao Circle, Near Janatha Hotel, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru-560004",Mr & Ms Corn,No,No,4.5/5,915,8310064650,Basavanagudi,Self service,"Peri peri corn, Masala corn, Crispy corn",Indian Street Food,150,A small shop in JC road. Crispy corn is a must try. Please visit if you're near VV Puram ;  To try: All of the crispy corn variations and chocolate corn is something different.,[],Street Stalls,Basavanagudi
129,"No. 37, 4th floor, Bosco Court, Gandhi Bazaar, Basavanagudi, Bengaluru-560004",Patiala NH 44,Yes,No,3.9/5,1762,9980040002,Gandhi Bazaar,Casual Dining,"Paneer Makhmali Roll, Kulchan and gravy",North Indian,950,"It's nice very less crow, you can specify and customise your food according to your taste ; One of the best punjabi style food, I have eevr tasted, I would definitely recommend everyone to visit here.",[],Restaurant,Basavanagudi
130,"7th Cross Rd, BTM 2nd Stage, BTM Layout, Bengaluru-560076",Fries and Burgers,No,No,4.8/5,88,null,BTM Layout,Self service,"Redvelvet Shake, Mojito, Burgers",Indian Street Food,250,"The ambience was really good, music and good service and the taste was awesome ; Good place to spend time with friends. You can get birthday cakes also if you order prior 30min..over all we enjoy.",[],Street Stalls,BTM Layout
131,"Kannan Building, 89, Mahatma Gandhi Rd, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru-560001",Lakeview Milk Bar - Since 1930,Yes,No,4.1/5,11314,9972635636,MG Road,Casual Dining,"Sizzling bownie sundae, Banoffee Bubble Waffle with vanilla Ice cream and Nutella",Ice Creams and Beverages,500,Been visiting the place for past 10 years. Always loved the cold coffee here. Pizza and fruits with fresh cream are our favourites.,[],Cafe,MG Road
132,"756, 10th Main Rd, 4th Block, Jayanagar, Bengaluru-560011",Amul Ice Cream Cafe aand Retail Store,Yes,No,4.0/5,85,9742727742,Jayanagar,Self service,"Paneer Pizza, Cold Coffee, Ice creams",Ice Creams and Beverages,300,One of my new go to cafes in Jayanagar. Very budget friendly and an exclusive amul brand outlet where you can also find all amul products.,[],Cafe,Jayanagar
133,"22nd Main Rd, Siddanna Layout, Banashankari II Stage, Bengaluru-560070",Saffron Express,No ,No,4.0/5,100,9718519199,Banashankari,Casual Dining,"Khulad pizza, French fries, Mojito",Indian Street Food,400,Most pocket friendly cafe ; Ambience is great with music.,[],Cafe,Banashankari
134,"2, 525/A, Ground floor, 5th Block, Mamoor Plaza, opp. McDonald, 5th Cross Rd, KHB Colony, Bengaluru-560095",2 Rabbits Bakes,Yes,No,4.5/5,44,null,Koramangala,Casual Dining,"Milk cakes, Mexican choco pudding",French,600,"One of the best bakery in Koramangala, the desserts are super delicious, they serve the best cheesecakes and will never let you leave disappointed.",[],Cafe,Koramangala
135,"A3, Ranka Colony Road, JP Nagar, opp. Ranka Colony, BTM 2nd Stage, Bilekahalli, Bengaluru-560076","Pizza-Man, BTM",Yes,No,4.6/5,67,8971181827,BTM Layout,Self service,"Cheesy Garlic bread, Pizza, Kitkat Shake",Italian,500,"The foos was very delicious. We tried Spicy paneer pizza, cheese garlic bread, kitkat shake.",[],Cafe,BTM Layout
136,"Ganesh Chats, Rajajinagar 1st block, Rajajinagar,Bengaluru-560010",Sree Ganesha Chats And Foods,No,No,3.9/5,10,null,Rajajinagar,Self service,"Masala puri, Dahi puri, Gobi manchurian",Indian Street Food,150,"This place has many options in juices and chats. Have special milshakes like mango mastani, coconut shake etc, We took Mango mastani and gobi dry etc, which were good.",[],Street Stalls,Rajajinagar
137,"1592, East End Main Rd, 9th Block, Jayanagar, Bengaluru-560069",Jagli Tindi,Yes,No,4.4/5,190,null,Jayanagar,Self service,"Special Masala Dosa, Kolkotte Idli Sambar, Ragi Halbai, Neer dose",South Indian,200,"Visited with my bro, tasted all their unique dishes and the taste was really good ; Typical manglorean breakfast. Food was excellent. Especially their kotte kadubu, bisi bisi goli bajje, are must try dishes.",[],Hotel,Jayanagar
138,"Hosahalli Extension, Stage 1, Near Priyanka Tent House, Vijayanagar, Bengaluru-560040",Idli Hub,No,No,4.2/5,50,null,Vijayanagar,Self service,"Tatte Idli, Rice bath, Vade",South Indian,100,"Amazing Idli, vade, chithranna  at just 10 upees only. ",[],Hotel,Vijayanagar
139,"Srinidhi chats, Siddanna Layout, KR Road Banashankari II Stage, Bengaluru-560070",Srinidhi Chats,No,No,4.4/5,51,null,Banashankari,Self service,"Masala Puri, Pani puri",Indian Street Food,100,"Taste is very good ; The puri is so fresh, everytime you visit will definitely stop by. The person is also so friendly and has a lot of old customers.",[],Street Stalls,Banashankari
140,"9th Main Rd, 2nd Block, Jayanagar, Bengaluru-560011",Bengaluru Cafe,Yes,No,4.4/5,11324,8197297938,Jayanagar,Self service,"Filter coffee, Idly, Chow chow bath, Navane Pongal",South Indian,100,A pefect place for dosa and filter coffee. A must try is their ghee masala dosa ; They also have Mysore bonda and idlis which are again exceptionally good.,[],Hotel,Jayanagar
141,"Office A, 3rd, NA Chambers 3j, Cross, 7th Main Rd, opposite Toshiba Software India Private Limited, 3rd Block, Koramangala, Bengaluru-560034",Smoky and Snacky,Yes,No,5.0/5,28,null,Koramangala,Self service,"Pizza, Garlic breads, Mojito",Indian Street Food,300,"Great place to have snacky foods as per the name, loved the momos and sandwiches, especially cheese corn, you can find many kinds of momos varities.",[],Street Stalls,Koramangala
142,"3rd floor, #30, 1st cross road, Sampige Rd, Bengaluru-560003",Enne,Yes,No,3.8/5,1267,7619181855,Malleshwaram,Casual Dining,"Paneer Ghee Roast, Hot chocolate and Benne biscuit",Indian,1000,The vibe here is just incredible! Food here is authentically curated. It's a blend of both traditional food and modern ambience.Worth the visit!,[],Pub,Malleshwaram
143,Basavanagudi flyover,Midnight Maggie cart,No,No,4.0/5,50,null,Basavanagudi,Self service,"Maggie, Boost, Coffee",Indian Street Food,100,"Here you get diferent types of Maggie, my all time favourite cheese Maggie, taste wise it will be too good, chhesy texture served hot, loved it!",[],Street Stalls,Basavanagudi
144,"509, 7th Main Rd, Near Kaade hospital, Manjunath Nagar, Rajajinagar, Bengaluru-560010",Masala Box,Yes,No,4.2/5,23,null,Rajajinagar,Self service,"Chinese bhel, Tandoori momos, Noodles",Indian Street Food,300,"Affordable, nice staff and most of all good food. ; The food is ver delicious, value for money.",[],Cafe,Rajajinagar
145,"Shop No.40, First floor, 16, 11th Cross Rd, 1st N  Block, Rajajinagar,Bengaluru-560010",The Delhi Ritual,Yes,No,4.1/5,1099,7022719509,Rajajinagar,Casual Dining,"Chole Bature, Tandoori Paneer, Tikka, Hara Bhara Kebab",North Indian,400,"A small, cozy place with North Indian food options. Some of the items were really good. Ambience was decent too. But place seems a bit cramped.",[],Restaurant,Rajajinagar
146,"40, 2nd Cross Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru-560011",Phurr,No,Yes,4.5/5,863,7975252635,Jayanagar,Casual Dining,"Mango Coconut shot, Paneer Tacos, Masala Puri shots",Indian,1000,Fod and service are really great ; I love everything about this place. Food is yummy. Decor and ambience is amazing.,[],Restaurant,Jayanagar
147,"20/1, 14th Cross Rd, opp. to SBI Bank ATM, 1st block, Rajajinagar, Bengaluru-560010",Halftea and Mr.Girmit,Yes,No ,3.5/5,100,null,Rajajinagar,Self service,"Tea, Pakoda, Girmit",Italian,250,Serves amazing bisi bisi tea and girmit.,[],Street Stalls,Rajajinagar
148,"Located at road next to Dayanand Sagar college leading to Sagar hospital, Kumarswamy layout",Thanushree Gobi Center,No,No,3.8/5,50,null,Banashankari,Self service,"Palak gobi manchurian, Gobi manchurian",Chinese,100,They don't use food color and bad oil ; Amazing gobi center near dayanand sagar college,[],Street Stalls,Banashankari
149,"30, 3rd floor, Dr. Vishnuvardhan Road opposite Mantri Alpyne, BSK 5th stage, Uttarahalli Hobli, Bengaluru-560062",Dilli Chowk,Yes,No,4.5/5,108,7899516447,RR Nagar,Casual Dining,"Amritsari Paneer Kulcha, Tomato Shorba, Palak Paneer",North Indian,1000,A nice place that I visited for dinner. It's on 3rd floor and not many tables.Cozy interiors and good decors. Menu spread is huge and food was okay.,[],Restaurant,RR Nagar
150,"32nd E Cross Rd, 4th T Block East, Jayanagar 3rd Block East, Jayanagar, Bengaluru-560011",The Chinese Square,Yes,No,4.8/5,10,null,Jayanagar,Self service,"Babycorn dry, Veg spring roll, Tomato soup",Indian Street Food,150,Best price and tasty food. Tried soup and sandwich.,[],Street Stalls,Jayanagar
151,"1st A Cross, KHB Colony, 5th Block, Koramangala, Bengaluru-560095",Avocado&Brownies,Yes,No,4.8/5,231,9535833252,Koramangala,Casual Dining,"Nutella brownie, Assorted brownie",French,600,"The best brownies place, what I liked the most is the brownies were served based on our taste like light sugar or medium or too sweet, also different types of chocolates.",[],Bakery,Koramangala
152,"Vijaya College, Bus Stand, 15, Rashtriya Vidyalaya Rd, 2nd Block, Jayanagar East, Basavanagudi, Bengaluru-560004",Jayalakshmi Indian Street Food,No,No,4.0/5,50,null,Basavanagudi,Self service,Mirchi Bajji,Indian Street Food,100,"They serve amazing Andhra style cut Mirchi Bajji topped with Spicy chilli powder, onions and lime",[],Street Stalls,Basavanagudi
153,"19, 100 Feet Ring Rd, beside Dash Square, BTM 2nd Stage, Kuvempu Nagar, BTM Layout, Bengaluru-560076",Cafe Ni-O-Ven Serving Delicacies,Yes,No,3.9/5,223,7259222221,BTM Layout,Casual Dining,"Cookies, Mojito, Pasta, Cupcakes",Italian,1000,Amazing hot chocolate. Must try Sheeran and Peri peri chicken wings made by Nishimiya,[],Cafe,BTM Layout
154,"No. 922, AVR Arcade, 28th Main Rd, Putlanpalya, Jayanagar 9th block, Jayanagar, Bengaluru-560069",Metropaka-Veg Restaurant ,Yes,No,4.5/5,119,null,Jayanagar,Casual Dining,"Healthy lunch combo, Masala dosa, Onion dosa",South Indian,200,"Great food. Very tasty and fast service. Discout is available for 150 and above we eat. Sprouts, veg salad, fruit salad are good options",[],Restaurant,Jayanagar
155,"238, Chord Rd, 1st Stage, 5th Phase, Shivanagar, Rajajinagar, Bengaluru-560010",Bites Of Bengaluru(BOB),Yes,No,4.8/5,101,null,Rajajinagar,Self service,"French fries, Veg momos, Sandwich",Indian Street Food,200,Loved their trio sauce burger and fries. The kurkure chicken momos was lip smacking. Will definitely visit again,[],Street Stalls,Rajajinagar
156,"71, 8th C Main Road, 4th T Block East, Jayanagar, Bengaluru-560011",Anantha,Yes,Yes,4.3/5,314,942771777,Jayanagar,Casual Dining,"Chilli Mushroom, North Indian Thali",Indian,500,"The food was overall delicious. Highlights include: Tomato soup, Gobi manchrian dry. Both North and South thalis were enjoyable.",[],Restaurant,Jayanagar
157,"73/1, MVI Road, Sunkenahalli, Hanumanthnagar, Gavipuram Extension, Kempegowda Nagar, Bengaluru-560019",Hotel Shivaprasad Tiffin Centre,No,No,4.2/5,1479,null,Basavanagudi,Self service,"Combo breakfast platter, Poori Sagu, Bisi Bele bath",South Indian,200,We went on a Sunday ride as there were special combo breakfast recommended by other reviews. Combo breakfast was perfect served hot and tastier too.,[],Hotel,Basavanagudi
158,"52, Nirmala Mansion, 17th A Main Rd, KHB block Koramangala, 5th Block, Koramangala, Bengaluru-560095",Pandit Ji - ras bana rahe,Yes,No,4.2/5,244,null,Koramangala,Self service,"Rabdi, Chole Bhatura, Paneer Paratha",North Indian,400,"It is a good North Indian Restaurant. You will get parathas and puri options. Bit costlier than the other breakfast options, but in 200 you can have a stomach full breakfast with a drink.",[],Hotel,Koramangala
159,"No 196/1-1, Near south end metro station, Beside South end apartments, 2nd Block,Jayanagar East, Jayanagar, Bengaluru-560082",Namma Mysuru Cafe,No,No,4.3/5,24,null,Jayanagar,Self service,"Akki roti, Khara Kadabu, Jodi Masala dosa",South Indian,200,"An amazing cafe for soth Indian veg dishes, I tried their butter masala dosa and mangalore buns, it was delicious. Coffee was too good. A must place to try!",[],Hotel,Jayanagar
160,"827, 24th Main Rd, 2nd Phase, J.P. Nagar, Bengaluru-560078",24th Main Restaurant,Yes,Yes,4.1/5,1808,9900092564,JP Nagar,Casual Dining,"Chocolate fountain, Indus valley Paneer Tikka",North Indian,800,"I've been to this place several times. The food quality varies - sometimes it's great, other times not so much, depending on the menu and how busy the place is.",[],Restaurant,JP Nagar
161,"5th Phase, 694, 15th Cross Rd, KR Layout, JP Nagar Phase 6, J.P. Nagar, Bengaluru-560078",The Pizza Bakery,Yes,Yes,4.4/5,20,6366952005,JP Nagar,Casual Dining,"Pizza, Garlic bread, Pasta",Italian,1000,Ambience is exceptionally beautiful as it is connected with nature. We ordered garlic bread and butter garlic mushrooms. Pizzas are amazing.,[],Cafe,JP Nagar
162,"Building 5th floor, Z1 Construction, 6, 20th Main Rd, Next to Sapna Book House, KHB Colony, 7th block, Koramangala, Bengaluru-560085",Bombay Adda,No,Yes,4.0/5,6330,9606642222,Koramangala,Casual Dining,"Pizza, Nachos, Tiramisu",Italian,2000,"Very nice Night club/Pub in the heart of Koramangala. Great food, Great service and ambience. Perfect place for hanging out with your friends who love to drink, dance and groove.",[],Pub,Koramangala
163,"170, 2nd Cross Rd, SBI Colony, Koramangala, Bengaluru-560047",TAG Telagana Andhra Ghumaghumalu,Yes,No,4.4/5,226,null,Koramangala,Casual Dining,"Potlam Chicken Biryani, Kamju Fry, Gutthi Vankaya Biryani",South Indian,1000,"For someone who likes eating spicy food, TAG would be apt, food just hits all the right spots making you repeat the order just as how we group of friends did.",[],Restaurant,Koramangala
164,"Dyu Art Cafe, No 23, KHB MIG Colony, Koramangala 8th block, Koramangala, Bengaluru-560095",Dyu Art Cafe,Yes,No,4.5/5,20227,9895674244,Koramangala,Casual Dining,"Cold Coffee, The English Breakfast",Italian,850,"We just had the pleasure of dining at Dyu Art Cafe and it truly exceeded our expectation. The ambience was incredible cozy, creating a warm and inviting atmosphere that instantly put us at ease.",[],Cafe,Koramangala
